as_of_date,window_key,window_days,period_label,product_id,product_name,product_image_url,role_taxonomy,role_score,role_evidence_status,role_window_state,role_reason,entry_score,expansion_score,repeat_score,basket_score,primary_axis_label,primary_axis_value,entry_support_count,expansion_support_count,repeat_support_count,basket_support_count,transition_customer_cnt,transition_support_rate,return_loop_cnt,basket_pair_cnt,history_ready
2026-04-18,1d,1,하루 기준,1000000027,마스코바도 설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000027/image/list/1000000027_list_012.jpg,반복구매기여,0.11764705882352941,available,available,하루 기준 주요 신호 0.12,0.002602149189876151,0.11500782761547278,0.11764705882352941,0.042228212039532795,반복구매기여,0.11764705882352941,17,4,2,40,4,0.11764705882352941,2,40,true
2026-04-18,1d,1,하루 기준,1000000028,마스코바도 딸기설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000028/image/list/1000000028_list_04.jpg,반복구매기여,0.15323369417713925,available,available,하루 기준 주요 신호 0.15,0.00222072661125578,0.060067608117438574,0.15323369417713925,0.02425876010781671,반복구매기여,0.15323369417713925,15,2,3,30,2,0.06666666666666667,3,30,true
2026-04-18,1d,1,하루 기준,1000000033,가래떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000033/image/list/1000000033_list_090.jpg,재구매확장기여,0.13745114209087086,available,available,하루 기준 주요 신호 0.14,0.010611362666699951,0.13745114209087086,0.06382978723404255,0.06558849955076371,재구매확장기여,0.13745114209087086,47,8,3,42,8,0.06382978723404255,3,42,true
2026-04-18,1d,1,하루 기준,1000000035,떡국떡 500g,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000035/image/list/1000000035_list_093.jpg,재구매확장기여,0.20058222943497608,available,available,하루 기준 주요 신호 0.20,0.034002723803650166,0.20058222943497608,0.1918835103013164,0.14914645103324348,재구매확장기여,0.20058222943497608,77,32,4,56,32,0.025974025974025976,4,56,true
2026-04-18,1d,1,하루 기준,1000000042,약식,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000042/image/list/1000000042_list_03.jpg,동시구매기여,0.42407906558849956,available,available,하루 기준 주요 신호 0.42,0.08371760449847966,0.3107777374308895,0.14843921457836667,0.42407906558849956,동시구매기여,0.42407906558849956,190,94,30,68,94,0.11052631578947368,30,68,true
2026-04-18,1d,1,하루 기준,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,동시구매기여,0.48517520215633425,available,available,하루 기준 주요 신호 0.49,0.08558124412365992,0.2767786572059919,0.3284037223611674,0.48517520215633425,동시구매기여,0.48517520215633425,197,86,26,70,86,0.06598984771573604,26,70,true
2026-04-18,1d,1,하루 기준,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,동시구매기여,0.3692722371967655,available,available,하루 기준 주요 신호 0.37,0.06034633864753185,0.22574301047663212,0.33729822993957426,0.3692722371967655,동시구매기여,0.3692722371967655,145,56,17,60,56,0.04827586206896552,17,60,true
2026-04-18,1d,1,하루 기준,1000000045,완두시루떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000045/image/list/1000000045_list_095.jpg,동시구매기여,0.6253369272237197,available,available,하루 기준 주요 신호 0.63,0.21698329534344438,0.2797818846486167,0.5101409405603751,0.6253369272237197,동시구매기여,0.6253369272237197,308,122,48,72,122,0.06168831168831169,48,72,true
2026-04-18,1d,1,하루 기준,1000000062,흰이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000062/image/list/1000000062_list_062.jpg,동시구매기여,0.34052111410601976,available,available,하루 기준 주요 신호 0.34,0.10948485511930994,0.150312949522266,0.11361523017556009,0.34052111410601976,동시구매기여,0.34052111410601976,239,54,13,70,54,0.029288702928870293,13,70,true
2026-04-18,1d,1,하루 기준,1000000063,쑥이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000063/image/list/1000000063_list_055.jpg,동시구매기여,0.40341419586702604,available,available,하루 기준 주요 신호 0.40,0.1601876252684964,0.24527361149215196,0.264718379750164,0.40341419586702604,동시구매기여,0.40341419586702604,297,104,24,74,104,0.04040404040404041,24,74,true
2026-04-18,1d,1,하루 기준,1000000064,2색 이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000064/image/list/1000000064_list_053.jpg,첫구매기여,1,available,available,하루 기준 주요 신호 1.00,1,0.28151442307692304,0.17668269230769232,1,첫구매기여,1,1664,478,214,76,478,0.08413461538461539,214,76,true
2026-04-18,1d,1,하루 기준,1000000065,흰인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000065/image/list/1000000065_list_019.jpg,반복구매기여,0.41542150709418335,available,available,하루 기준 주요 신호 0.42,0.014041021479702027,0.15266740385711236,0.41542150709418335,0.11590296495956873,반복구매기여,0.41542150709418335,48,9,7,50,9,0.041666666666666664,7,50,true
2026-04-18,1d,1,하루 기준,1000000066,쑥인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000066/image/list/1000000066_list_042.jpg,반복구매기여,0.29932327763414024,available,available,하루 기준 주요 신호 0.30,0.029014059193868312,0.18051496128089686,0.29932327763414024,0.17160826594788858,반복구매기여,0.29932327763414024,90,32,9,50,32,0.03333333333333333,9,50,true
2026-04-18,1d,1,하루 기준,1000000069,설기세트,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000069/image/list/1000000069_list_033.jpg,동시구매기여,0.18598382749326145,available,available,하루 기준 주요 신호 0.19,0.038165304343330805,0.13546776190076454,0.15949893473402418,0.18598382749326145,동시구매기여,0.18598382749326145,101,26,4,54,26,0.019801980198019802,4,54,true
